type,iban,balance,status,interestRate,accruedInterest,ownerUsername,monthlyMaintenanceFee
PERSONAL,GR100000000000000001,2073.166096994187398534213668692992586228422244,ACTIVE,0.01,0,ngioldasis,
PERSONAL,GR100000000000000002,8059.186890940745005491252601228821944917902712,ACTIVE,0.01,0,pappas,
PERSONAL,GR100000000000000003,2132.638140855948752073003727577595775699770640,ACTIVE,0.01,0,pappas,
PERSONAL,GR100000000000000004,4770.167781232098900844243300842221231937542192,ACTIVE,0.01,0,gchalkiadakis,
PERSONAL,GR100000000000000005,4194.284977388511836196171721797894390889950876,ACTIVE,0.01,0,mteranova,
PERSONAL,GR100000000000000006,906.558026809260006764196594457673356250202640,ACTIVE,0.01,0,mteranova,
PERSONAL,GR100000000000000007,7612.604454199722866358202099324671338041232156,ACTIVE,0.01,0,skarakosta,
PERSONAL,GR100000000000000008,4580.481044364733735752479955628104940066367720,ACTIVE,0.01,0,skarakosta,
PERSONAL,GR100000000000000009,4980.336526866245292278960106617516715979185180,ACTIVE,0.01,0,edimitriou,
PERSONAL,GR100000000000000010,10303.581037597343481561988390670854603699785384,ACTIVE,0.01,0,kpapadopoulos,
PERSONAL,GR100000000000000011,10539.948024367525563923792048072835757591294076,ACTIVE,0.01,0,anikolaou,
PERSONAL,GR100000000000000012,2344.681178721207418309677290186243341967755440,ACTIVE,0.01,0,dathanasiou,
PERSONAL,GR100000000000000013,14114.282381005675458911582805057849853189621840,ACTIVE,0.01,0,ikonstantinou,
PERSONAL,GR100000000000000014,2169.721054109223602850235786456762056719397280,ACTIVE,0.01,0,ikonstantinou,
PERSONAL,GR100000000000000015,8.998565454419779946322944497365735235015560,ACTIVE,0.01,0,pgeorgiou,
PERSONAL,GR100000000000000016,12714.41742719398913004204773170902657280183600,ACTIVE,0.01,0,cvasileiou,
PERSONAL,GR100000000000000017,1552.974709159430906374228799641454676282224880,ACTIVE,0.01,0,cvasileiou,
PERSONAL,GR100000000000000018,7653.809624101637917182400938642781114967384880,ACTIVE,0.01,0,amichail,
PERSONAL,GR100000000000000019,4930.730758243312718582429687779504947781486200,ACTIVE,0.01,0,kstavrou,
PERSONAL,GR100000000000000020,4701.987186385863919417478571026345617745479320,ACTIVE,0.01,0,tpantelis,
PERSONAL,GR100000000000000021,9228.95744668820050421048428069753368228325560,ACTIVE,0.01,0,mlouka,
PERSONAL,GR100000000000000022,851.294268727596756699909920001606264844130200,ACTIVE,0.01,0,mlouka,
PERSONAL,GR100000000000000023,8146.02018255758350866036059473679174791485040,ACTIVE,0.01,0,santoniou,
PERSONAL,GR100000000000000024,8286.879157751411426442488420765650808881352240,ACTIVE,0.01,0,vchristou,
PERSONAL,GR100000000000000025,4776.293250813954908900327683064610197054931080,ACTIVE,0.01,0,vchristou,
BUSINESS,GR200000000000000001,452241.532135877356405970567318605372365996891520,ACTIVE,0.005,0,vodafone,25.00
BUSINESS,GR200000000000000002,353789.036260741776561483186850574870307047861760,ACTIVE,0.005,0,cosmote,25.00
BUSINESS,GR200000000000000003,483227.472812427182689295853908926684723103152000,ACTIVE,0.005,0,dei,25.00
BUSINESS,GR200000000000000004,226265.91541729156428799624088248870472426940160,ACTIVE,0.005,0,nova,25.00
BUSINESS,GR200000000000000005,141211.932117517559753511020553424742764246312320,ACTIVE,0.005,0,ote,25.00
BUSINESS,GR200000000000000006,97922.358192468863361621436062376159229075477760,ACTIVE,0.005,0,wind,25.00
BUSINESS,GR200000000000000007,292470.629572933222747173039660691588765566090240,ACTIVE,0.005,0,eydap,25.00
BUSINESS,GR200000000000000008,481764.941424748401681197555348556776334817118720,ACTIVE,0.005,0,deddie,25.00
BUSINESS,GR200000000000000009,56309.55750226584836214368255156813439088813440,ACTIVE,0.005,0,forthnet,25.00
BUSINESS,GR200000000000000010,137530.747550617206452902634810037635997882806400,ACTIVE,0.005,0,cyta,25.00
BUSINESS,GR200000000000000011,402103.305116053584681015430253569678869285774080,ACTIVE,0.005,0,public,25.00
BUSINESS,GR200000000000000012,91268.150141455282033341612155736848678792515840,ACTIVE,0.005,0,skroutz,25.00
